EndoBench_index,image_path,EndoBench_task,EndoBench_orig_Q,EndoBench_orig_A (gt),Kvasir_Q (current),Kvasir_A (current)
1592,image_1592.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",Barrett's esophagus,Does this image contain any finding?,Yes
1592,image_1592.jpg,Lesion Type Identification,"Analyze this endoscopic image for any pathological findings. Should any be identified, what classifications do they fall under?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1593,image_1593.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",Barrett's esophagus,Does this image contain any finding?,Yes
1593,image_1593.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If so, please specify the nature of the abnormalities observed.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1594,image_1594.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",Barrett's esophagus,Does this image contain any finding?,Yes
1594,image_1594.jpg,Lesion Type Identification,"Does this image reveal any pathological findings, and if so, what specific type of anomaly could it indicate?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1595,image_1595.jpg,Lesion Type Identification,"Could you analyze this endoscopic image and determine whether any pathological findings are present? If abnormalities are identified, what specific type might they be?",Barrett's esophagus,Does this image contain any finding?,Yes
1595,image_1595.jpg,Lesion Type Identification,"Could you analyze this endoscopic image and determine whether any pathological findings are present? If abnormalities are identified, what specific type might they be?",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
1596,image_1596.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Does this image contain any finding?,Yes
1596,image_1596.jpg,Lesion Type Identification,"Examine the provided endoscopic image and indicate whether any pathological findings are present. If abnormalities are identified, please specify their nature.",Barrett's esophagus,Are there any abnormalities in the image? Check all that are present.,Barretts
